498,42,553,98
443,44,497,99
388,44,442,100
333,45,398,100
278,45,333,101
224,46,279,101
169,46,225,101
114,46,170,101
497,99,551,152
442,100,496,153
398,100,441,154
333,101,387,154
279,101,333,154
225,101,280,155
170,101,228,156
116,101,173,156
496,153,550,207
441,154,495,207
387,154,441,207
333,154,387,207
280,155,334,208
228,156,280,208
173,156,228,209
118,156,173,209
495,207,548,260
441,207,494,260
387,207,440,260
334,208,387,260
280,208,334,261
228,209,280,261
173,209,228,262
120,209,175,262
494,260,548,312
440,260,493,312
387,260,440,313
334,261,387,313
280,261,334,313
228,262,282,313
175,262,229,313
122,262,176,314
493,312,546,364
440,313,493,364
387,313,440,364
334,313,387,364
282,313,334,364
229,313,282,364
176,313,229,365
123,315,177,365
493,364,546,415
440,364,492,415
387,364,440,415
334,364,387,415
282,364,334,415
229,365,283,415
177,365,231,417
125,366,178,417
492,415,544,466
440,415,492,466
387,415,439,466
334,415,387,466
283,415,335,466
231,417,283,466
178,417,231,467
126,417,178,467
